profit_center,document_date,posting_date,assignment,gl_account,text,doc_number,doc_type,posting_key,amount
BX03,1/2/2025,1/2/2025,20250102,5101020102,,601006312,QA,40,1642621
BX04,1/2/2025,1/2/2025,20250102,5101020102,,601006313,QA,40,1028014
BX07,1/2/2025,1/2/2025,20250102,5101020102,,601006314,QA,40,2400740
BX08,1/2/2025,1/2/2025,20250102,5101020102,,601006315,QA,40,1972654
BX09,1/2/2025,1/2/2025,20250102,5101020102,,601006316,QA,40,2338802
BX10,1/2/2025,1/2/2025,20250102,5101020102,,601006317,QA,40,3302082
BX11,1/2/2025,1/2/2025,20250102,5101020102,,601006318,QA,40,1553371
BX12,1/2/2025,1/2/2025,20250102,5101020102,,601006319,QA,40,2562262
BX13,1/2/2025,1/2/2025,20250102,5101020102,,601006320,QA,40,1059332
BX14,1/2/2025,1/2/2025,20250102,5101020102,,601006321,QA,40,101831
BX19,1/2/2025,1/2/2025,20250102,5101020102,,601006322,QA,40,953091
BX20,1/2/2025,1/2/2025,20250102,5101020102,,601006323,QA,40,1475055
BX21,1/2/2025,1/2/2025,20250102,5101020102,,601006324,QA,40,1134611
BX22,1/2/2025,1/2/2025,20250102,5101020102,,601006325,QA,40,1188625
BX23,1/2/2025,1/2/2025,20250102,5101020102,,601006326,QA,40,364955
BX25,1/2/2025,1/2/2025,20250102,5101020102,,601006327,QA,40,357373
BX26,1/2/2025,1/2/2025,20250102,5101020102,,601006328,QA,40,328495
BX27,1/2/2025,1/2/2025,20250102,5101020102,,601006329,QA,40,2350713
BX29,1/2/2025,1/2/2025,20250102,5101020102,,601006330,QA,40,259314
BX31,1/2/2025,1/2/2025,20250102,5101020102,,601006331,QA,40,1241999
BX32,1/2/2025,1/2/2025,20250102,5101020102,,601006332,QA,40,2389050
BX33,1/2/2025,1/2/2025,20250102,5101020102,,601006333,QA,40,206888
BX34,1/2/2025,1/2/2025,20250102,5101020102,,601006334,QA,40,186126
BX35,1/2/2025,1/2/2025,20250102,5101020102,,601006335,QA,40,1451111
BX36,1/2/2025,1/2/2025,20250102,5101020102,,601006336,QA,40,177883
BX38,1/2/2025,1/2/2025,20250102,5101020102,,601006337,QA,40,443911
BX39,1/2/2025,1/2/2025,20250102,5101020102,,601006338,QA,40,870301
BX40,1/2/2025,1/2/2025,20250102,5101020102,,601006339,QA,40,1384954
BX41,1/2/2025,1/2/2025,20250102,5101020102,,601006340,QA,40,990131
BX43,1/2/2025,1/2/2025,20250102,5101020102,,601006341,QA,40,1168676
BX49,1/2/2025,1/2/2025,20250102,5101020102,,601006342,QA,40,758798
BX50,1/2/2025,1/2/2025,20250102,5101020102,,601006343,QA,40,64685
BX51,1/2/2025,1/2/2025,20250102,5101020102,,601006344,QA,40,229630
BX52,1/2/2025,1/2/2025,20250102,5101020102,,601006345,QA,40,920188
BX03,1/2/2025,1/2/2025,20250102,5101020102,,3800000501,Z8,40,374809
BX01,1/3/2025,1/3/2025,20250103,5101020102,,601006346,QA,40,5941720
BX03,1/3/2025,1/3/2025,20250103,5101020102,,601006347,QA,40,2873625
BX04,1/3/2025,1/3/2025,20250103,5101020102,,601006348,QA,40,2010744
BX07,1/3/2025,1/3/2025,20250103,5101020102,,601006349,QA,40,2267335
BX08,1/3/2025,1/3/2025,20250103,5101020102,,601006350,QA,40,1318742
BX09,1/3/2025,1/3/2025,20250103,5101020102,,601006351,QA,40,2163316
BX10,1/3/2025,1/3/2025,20250103,5101020102,,601006352,QA,40,3372466
BX11,1/3/2025,1/3/2025,20250103,5101020102,,601006353,QA,40,1601322
BX12,1/3/2025,1/3/2025,20250103,5101020102,,601006354,QA,40,2122088
BX13,1/3/2025,1/3/2025,20250103,5101020102,,601006355,QA,40,349297
BX19,1/3/2025,1/3/2025,20250103,5101020102,,601006356,QA,40,432720
BX20,1/3/2025,1/3/2025,20250103,5101020102,,601006357,QA,40,1550551
BX21,1/3/2025,1/3/2025,20250103,5101020102,,601006358,QA,40,957928
BX22,1/3/2025,1/3/2025,20250103,5101020102,,601006359,QA,40,413864
BX23,1/3/2025,1/3/2025,20250103,5101020102,,601006360,QA,40,571765
BX25,1/3/2025,1/3/2025,20250103,5101020102,,601006361,QA,40,242568
BX26,1/3/2025,1/3/2025,20250103,5101020102,,601006362,QA,40,780138
BX27,1/3/2025,1/3/2025,20250103,5101020102,,601006363,QA,40,1309386
BX29,1/3/2025,1/3/2025,20250103,5101020102,,601006364,QA,40,347300
BX31,1/3/2025,1/3/2025,20250103,5101020102,,601006365,QA,40,652540
BX32,1/3/2025,1/3/2025,20250103,5101020102,,601006366,QA,40,2320376
BX33,1/3/2025,1/3/2025,20250103,5101020102,,601006367,QA,40,1663062
BX34,1/3/2025,1/3/2025,20250103,5101020102,,601006368,QA,40,375171
BX35,1/3/2025,1/3/2025,20250103,5101020102,,601006369,QA,40,1113761
BX36,1/3/2025,1/3/2025,20250103,5101020102,,601006370,QA,40,368172
BX38,1/3/2025,1/3/2025,20250103,5101020102,,601006371,QA,40,745614
BX39,1/3/2025,1/3/2025,20250103,5101020102,,601006372,QA,40,679455
BX40,1/3/2025,1/3/2025,20250103,5101020102,,601006373,QA,40,306703
BX41,1/3/2025,1/3/2025,20250103,5101020102,,601006374,QA,40,853594
BX43,1/3/2025,1/3/2025,20250103,5101020102,,601006375,QA,40,1013494
BX49,1/3/2025,1/3/2025,20250103,5101020102,,601006376,QA,40,180423
BX50,1/3/2025,1/3/2025,20250103,5101020102,,601006377,QA,40,755702
BX51,1/3/2025,1/3/2025,20250103,5101020102,,601006378,QA,40,700034
BX52,1/3/2025,1/3/2025,20250103,5101020102,,601006379,QA,40,1282460
BX09,1/3/2025,1/3/2025,20250103,5101020102,,604000181,QH,40,1029
BX01,1/4/2025,1/4/2025,20250104,5101020102,,601006380,QA,40,6701073
BX03,1/4/2025,1/4/2025,20250104,5101020102,,601006381,QA,40,2953349
BX04,1/4/2025,1/4/2025,20250104,5101020102,,601006382,QA,40,1453369
BX07,1/4/2025,1/4/2025,20250104,5101020102,,601006383,QA,40,1796280
BX08,1/4/2025,1/4/2025,20250104,5101020102,,601006384,QA,40,1091349
BX09,1/4/2025,1/4/2025,20250104,5101020102,,601006385,QA,40,2329855
BX10,1/4/2025,1/4/2025,20250104,5101020102,,601006386,QA,40,1752117
BX11,1/4/2025,1/4/2025,20250104,5101020102,,601006387,QA,40,3158671
BX12,1/4/2025,1/4/2025,20250104,5101020102,,601006388,QA,40,881840
BX13,1/4/2025,1/4/2025,20250104,5101020102,,601006389,QA,40,342029
BX19,1/4/2025,1/4/2025,20250104,5101020102,,601006390,QA,40,1218025
BX20,1/4/2025,1/4/2025,20250104,5101020102,,601006391,QA,40,542238
BX21,1/4/2025,1/4/2025,20250104,5101020102,,601006392,QA,40,751558
BX22,1/4/2025,1/4/2025,20250104,5101020102,,601006393,QA,40,308263
BX23,1/4/2025,1/4/2025,20250104,5101020102,,601006394,QA,40,161189
BX25,1/4/2025,1/4/2025,20250104,5101020102,,601006395,QA,40,194747
BX26,1/4/2025,1/4/2025,20250104,5101020102,,601006396,QA,40,1120235
BX27,1/4/2025,1/4/2025,20250104,5101020102,,601006397,QA,40,2965991
BX29,1/4/2025,1/4/2025,20250104,5101020102,,601006398,QA,40,418070
BX31,1/4/2025,1/4/2025,20250104,5101020102,,601006399,QA,40,1161634
BX32,1/4/2025,1/4/2025,20250104,5101020102,,601006400,QA,40,1574579
BX33,1/4/2025,1/4/2025,20250104,5101020102,,601006401,QA,40,348380
BX34,1/4/2025,1/4/2025,20250104,5101020102,,601006402,QA,40,856370
BX35,1/4/2025,1/4/2025,20250104,5101020102,,601006403,QA,40,1357184
BX36,1/4/2025,1/4/2025,20250104,5101020102,,601006404,QA,40,387613
BX38,1/4/2025,1/4/2025,20250104,5101020102,,601006405,QA,40,119167
BX39,1/4/2025,1/4/2025,20250104,5101020102,,601006406,QA,40,545489
BX40,1/4/2025,1/4/2025,20250104,5101020102,,601006407,QA,40,68919
BX41,1/4/2025,1/4/2025,20250104,5101020102,,601006408,QA,40,888273
BX43,1/4/2025,1/4/2025,20250104,5101020102,,601006409,QA,40,873687
BX49,1/4/2025,1/4/2025,20250104,5101020102,,601006410,QA,40,574285
BX50,1/4/2025,1/4/2025,20250104,5101020102,,601006411,QA,40,465729
BX51,1/4/2025,1/4/2025,20250104,5101020102,,601006412,QA,40,671637
BX52,1/4/2025,1/4/2025,20250104,5101020102,,601006413,QA,40,1311493
BX03,1/4/2025,1/4/2025,20250104,5101020102,,3800000504,Z8,40,60107
BX01,1/5/2025,1/5/2025,20250105,5101020102,,601006414,QA,40,2711437
BX03,1/5/2025,1/5/2025,20250105,5101020102,,601006415,QA,40,1515982
BX04,1/5/2025,1/5/2025,20250105,5101020102,,601006416,QA,40,1412457
BX07,1/5/2025,1/5/2025,20250105,5101020102,,601006417,QA,40,2080988
BX08,1/5/2025,1/5/2025,20250105,5101020102,,601006418,QA,40,1677516
BX09,1/5/2025,1/5/2025,20250105,5101020102,,601006419,QA,40,2453620
BX10,1/5/2025,1/5/2025,20250105,5101020102,,601006420,QA,40,1479543
BX11,1/5/2025,1/5/2025,20250105,5101020102,,601006421,QA,40,542286
BX12,1/5/2025,1/5/2025,20250105,5101020102,,601006422,QA,40,1114753
BX13,1/5/2025,1/5/2025,20250105,5101020102,,601006423,QA,40,107459
BX19,1/5/2025,1/5/2025,20250105,5101020102,,601006424,QA,40,169096
BX20,1/5/2025,1/5/2025,20250105,5101020102,,601006425,QA,40,336061
BX21,1/5/2025,1/5/2025,20250105,5101020102,,601006426,QA,40,1617261
BX23,1/5/2025,1/5/2025,20250105,5101020102,,601006427,QA,40,333162
BX25,1/5/2025,1/5/2025,20250105,5101020102,,601006428,QA,40,1118540
BX27,1/5/2025,1/5/2025,20250105,5101020102,,601006429,QA,40,988241
BX29,1/5/2025,1/5/2025,20250105,5101020102,,601006430,QA,40,615792
BX31,1/5/2025,1/5/2025,20250105,5101020102,,601006431,QA,40,702096
BX32,1/5/2025,1/5/2025,20250105,5101020102,,601006432,QA,40,1782357
BX33,1/5/2025,1/5/2025,20250105,5101020102,,601006433,QA,40,1230195
BX35,1/5/2025,1/5/2025,20250105,5101020102,,601006434,QA,40,745270
BX36,1/5/2025,1/5/2025,20250105,5101020102,,601006435,QA,40,250037
BX38,1/5/2025,1/5/2025,20250105,5101020102,,601006436,QA,40,181658
BX40,1/5/2025,1/5/2025,20250105,5101020102,,601006437,QA,40,567931
BX41,1/5/2025,1/5/2025,20250105,5101020102,,601006438,QA,40,1671806
BX43,1/5/2025,1/5/2025,20250105,5101020102,,601006439,QA,40,295708
BX49,1/5/2025,1/5/2025,20250105,5101020102,,601006440,QA,40,760370
BX50,1/5/2025,1/5/2025,20250105,5101020102,,601006441,QA,40,323423
BX51,1/5/2025,1/5/2025,20250105,5101020102,,601006442,QA,40,310915
BX01,1/6/2025,1/6/2025,20250106,5101020102,,601006443,QA,40,3144735
BX03,1/6/2025,1/6/2025,20250106,5101020102,,601006444,QA,40,2542335
BX04,1/6/2025,1/6/2025,20250106,5101020102,,601006445,QA,40,962229
BX07,1/6/2025,1/6/2025,20250106,5101020102,,601006446,QA,40,656490
BX08,1/6/2025,1/6/2025,20250106,5101020102,,601006447,QA,40,1337408
BX09,1/6/2025,1/6/2025,20250106,5101020102,,601006448,QA,40,8277039
BX10,1/6/2025,1/6/2025,20250106,5101020102,,601006449,QA,40,1909674
BX11,1/6/2025,1/6/2025,20250106,5101020102,,601006450,QA,40,1073506
BX12,1/6/2025,1/6/2025,20250106,5101020102,,601006451,QA,40,367017
BX13,1/6/2025,1/6/2025,20250106,5101020102,,601006452,QA,40,9009
BX14,1/6/2025,1/6/2025,20250106,5101020102,,601006453,QA,40,542954
BX19,1/6/2025,1/6/2025,20250106,5101020102,,601006454,QA,40,207114
BX20,1/6/2025,1/6/2025,20250106,5101020102,,601006455,QA,40,1375406
BX21,1/6/2025,1/6/2025,20250106,5101020102,,601006456,QA,40,1228485
BX22,1/6/2025,1/6/2025,20250106,5101020102,,601006457,QA,40,45279
BX23,1/6/2025,1/6/2025,20250106,5101020102,,601006458,QA,40,375171
BX25,1/6/2025,1/6/2025,20250106,5101020102,,601006459,QA,40,664677
BX26,1/6/2025,1/6/2025,20250106,5101020102,,601006460,QA,40,905246
BX27,1/6/2025,1/6/2025,20250106,5101020102,,601006461,QA,40,959773
BX29,1/6/2025,1/6/2025,20250106,5101020102,,601006462,QA,40,747515
BX31,1/6/2025,1/6/2025,20250106,5101020102,,601006463,QA,40,1449509
BX32,1/6/2025,1/6/2025,20250106,5101020102,,601006464,QA,40,2142126
BX33,1/6/2025,1/6/2025,20250106,5101020102,,601006465,QA,40,321632
BX34,1/6/2025,1/6/2025,20250106,5101020102,,601006466,QA,40,622413
BX35,1/6/2025,1/6/2025,20250106,5101020102,,601006467,QA,40,1353441
BX38,1/6/2025,1/6/2025,20250106,5101020102,,601006468,QA,40,809650
BX39,1/6/2025,1/6/2025,20250106,5101020102,,601006469,QA,40,1015231
BX40,1/6/2025,1/6/2025,20250106,5101020102,,601006470,QA,40,507775
BX41,1/6/2025,1/6/2025,20250106,5101020102,,601006471,QA,40,895806
BX43,1/6/2025,1/6/2025,20250106,5101020102,,601006472,QA,40,203653
BX49,1/6/2025,1/6/2025,20250106,5101020102,,601006473,QA,40,396149
BX50,1/6/2025,1/6/2025,20250106,5101020102,,601006474,QA,40,730172
BX51,1/6/2025,1/6/2025,20250106,5101020102,,601006475,QA,40,533748
BX52,1/6/2025,1/6/2025,20250106,5101020102,,601006476,QA,40,1069090
BX01,1/7/2025,1/7/2025,20250107,5101020102,,601006477,QA,40,5424245
BX03,1/7/2025,1/7/2025,20250107,5101020102,,601006478,QA,40,2346835
BX04,1/7/2025,1/7/2025,20250107,5101020102,,601006479,QA,40,1719844
BX07,1/7/2025,1/7/2025,20250107,5101020102,,601006480,QA,40,761450
BX08,1/7/2025,1/7/2025,20250107,5101020102,,601006481,QA,40,1066242
BX09,1/7/2025,1/7/2025,20250107,5101020102,,601006482,QA,40,1724994
BX10,1/7/2025,1/7/2025,20250107,5101020102,,601006483,QA,40,1922646
BX11,1/7/2025,1/7/2025,20250107,5101020102,,601006484,QA,40,1542860
BX12,1/7/2025,1/7/2025,20250107,5101020102,,601006485,QA,40,1010062
BX13,1/7/2025,1/7/2025,20250107,5101020102,,601006486,QA,40,232865
BX14,1/7/2025,1/7/2025,20250107,5101020102,,601006487,QA,40,135826
BX19,1/7/2025,1/7/2025,20250107,5101020102,,601006488,QA,40,631678
BX20,1/7/2025,1/7/2025,20250107,5101020102,,601006489,QA,40,430867
BX21,1/7/2025,1/7/2025,20250107,5101020102,,601006490,QA,40,975480
BX22,1/7/2025,1/7/2025,20250107,5101020102,,601006491,QA,40,617720
BX23,1/7/2025,1/7/2025,20250107,5101020102,,601006492,QA,40,154597
BX25,1/7/2025,1/7/2025,20250107,5101020102,,601006493,QA,40,687570
BX26,1/7/2025,1/7/2025,20250107,5101020102,,601006494,QA,40,351571
BX27,1/7/2025,1/7/2025,20250107,5101020102,,601006495,QA,40,1299440
BX29,1/7/2025,1/7/2025,20250107,5101020102,,601006496,QA,40,744973
BX31,1/7/2025,1/7/2025,20250107,5101020102,,601006497,QA,40,1090955
BX32,1/7/2025,1/7/2025,20250107,5101020102,,601006498,QA,40,2934491
BX33,1/7/2025,1/7/2025,20250107,5101020102,,601006499,QA,40,1207212
BX34,1/7/2025,1/7/2025,20250107,5101020102,,601006500,QA,40,1551414
BX35,1/7/2025,1/7/2025,20250107,5101020102,,601006501,QA,40,828078
BX36,1/7/2025,1/7/2025,20250107,5101020102,,601006502,QA,40,157369
BX38,1/7/2025,1/7/2025,20250107,5101020102,,601006503,QA,40,561056
BX39,1/7/2025,1/7/2025,20250107,5101020102,,601006504,QA,40,307257
BX41,1/7/2025,1/7/2025,20250107,5101020102,,601006505,QA,40,389502
BX43,1/7/2025,1/7/2025,20250107,5101020102,,601006506,QA,40,261751
BX49,1/7/2025,1/7/2025,20250107,5101020102,,601006507,QA,40,448098
BX50,1/7/2025,1/7/2025,20250107,5101020102,,601006508,QA,40,291081
BX51,1/7/2025,1/7/2025,20250107,5101020102,,601006509,QA,40,129369
BX52,1/7/2025,1/7/2025,20250107,5101020102,,601006510,QA,40,69306
BX31,1/7/2025,1/7/2025,20250107,5101020102,,683000675,ZJ,40,203757
BX01,1/8/2025,1/8/2025,20250108,5101020102,,601006511,QA,40,3710434
BX03,1/8/2025,1/8/2025,20250108,5101020102,,601006512,QA,40,2250798
BX04,1/8/2025,1/8/2025,20250108,5101020102,,601006513,QA,40,1189167
BX07,1/8/2025,1/8/2025,20250108,5101020102,,601006514,QA,40,441023
BX08,1/8/2025,1/8/2025,20250108,5101020102,,601006515,QA,40,821505
BX09,1/8/2025,1/8/2025,20250108,5101020102,,601006516,QA,40,11328576
BX10,1/8/2025,1/8/2025,20250108,5101020102,,601006517,QA,40,2203836
BX11,1/8/2025,1/8/2025,20250108,5101020102,,601006518,QA,40,1341722
BX12,1/8/2025,1/8/2025,20250108,5101020102,,601006519,QA,40,1274422
BX13,1/8/2025,1/8/2025,20250108,5101020102,,601006520,QA,40,213807
BX14,1/8/2025,1/8/2025,20250108,5101020102,,601006521,QA,40,619325
BX19,1/8/2025,1/8/2025,20250108,5101020102,,601006522,QA,40,1170248
BX20,1/8/2025,1/8/2025,20250108,5101020102,,601006523,QA,40,336499
BX21,1/8/2025,1/8/2025,20250108,5101020102,,601006524,QA,40,1337108
BX22,1/8/2025,1/8/2025,20250108,5101020102,,601006525,QA,40,603480
BX23,1/8/2025,1/8/2025,20250108,5101020102,,601006526,QA,40,983813
BX25,1/8/2025,1/8/2025,20250108,5101020102,,601006527,QA,40,126135
BX26,1/8/2025,1/8/2025,20250108,5101020102,,601006528,QA,40,1163771
BX27,1/8/2025,1/8/2025,20250108,5101020102,,601006529,QA,40,1443139
BX29,1/8/2025,1/8/2025,20250108,5101020102,,601006530,QA,40,116432
BX31,1/8/2025,1/8/2025,20250108,5101020102,,601006531,QA,40,635839
BX32,1/8/2025,1/8/2025,20250108,5101020102,,601006532,QA,40,1457744
BX34,1/8/2025,1/8/2025,20250108,5101020102,,601006533,QA,40,303325
BX35,1/8/2025,1/8/2025,20250108,5101020102,,601006534,QA,40,1308434
BX36,1/8/2025,1/8/2025,20250108,5101020102,,601006535,QA,40,64038
BX38,1/8/2025,1/8/2025,20250108,5101020102,,601006536,QA,40,453453
BX39,1/8/2025,1/8/2025,20250108,5101020102,,601006537,QA,40,510380
BX40,1/8/2025,1/8/2025,20250108,5101020102,,601006538,QA,40,49189
BX41,1/8/2025,1/8/2025,20250108,5101020102,,601006539,QA,40,641103
BX43,1/8/2025,1/8/2025,20250108,5101020102,,601006540,QA,40,573225
BX49,1/8/2025,1/8/2025,20250108,5101020102,,601006541,QA,40,754084
