profit_center,nama_outlet,posting_date,account_no,gl_acct_long_text,text,doc_id,doc_type,debit,kredit
BX07,KF.0207,3/16/2025,1107010301,Persediaan Barang Jadi,,640027129,QS,0,-48940
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027138,QS,0,-85375
BX26,KF Sorosutan,3/16/2025,1107010301,Persediaan Barang Jadi,,640027141,QS,0,-356960
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027142,QS,0,-12454
BX07,KF.0207,3/16/2025,1107010301,Persediaan Barang Jadi,,640027144,QS,0,-221160
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027145,QS,0,-12454
BX38,KF Prambanan,3/16/2025,1107010301,Persediaan Barang Jadi,,640027147,QS,0,-20077
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027151,QS,0,-577280
BX35,KF Bantul,3/16/2025,1107010301,Persediaan Barang Jadi,,640027152,QS,0,-80947
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027153,QS,0,-39925
BX13,KF.0406 Jamal,3/16/2025,1107010301,Persediaan Barang Jadi,,640027154,QS,0,-146134
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027156,QS,0,-26129
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027157,QS,0,-12454
BX13,KF.0406 Jamal,3/16/2025,1107010301,Persediaan Barang Jadi,,640027159,QS,0,-593640
BX21,KF.0609 Tajem,3/16/2025,1107010301,Persediaan Barang Jadi,,640027161,QS,0,-145041
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027162,QS,0,-51817
BX10,KF.0316,3/16/2025,1107010301,Persediaan Barang Jadi,,640027166,QS,0,-155610
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027167,QS,0,-27580
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027170,QS,0,-19637
BX01,KF.0021,3/17/2025,1107010301,Persediaan Barang Jadi,,640033000,QS,0,-53615
